	Country_Code	Country_Name	Region	Year	Value	ISON	Income_Group
198	CZE	Czechia	Europe & Central Asia	2015	1	203	High income
369	SDN	Sudan	Sub-Saharan Africa	2015	3	729	Low income
432	MUS	Mauritius	Sub-Saharan Africa	2015	1	480	Upper middle income
495	DNK	Denmark	Europe & Central Asia	2015	1	208	High income
605	KNA	St. Kitts and Nevis	Latin America & Caribbean	2015	1	659	High income
825	MRT	Mauritania	Sub-Saharan Africa	2015	4	478	Lower middle income
888	LCA	St. Lucia	Latin America & Caribbean	2015	4	662	Upper middle income
1016	SSD	South Sudan	Sub-Saharan Africa	2015	3	728	Low income
1114	IMN	Isle of Man	Europe & Central Asia	2015	1	833	High income
1177	MEX	Mexico	Latin America & Caribbean	2015	1	484	Upper middle income
1240	JOR	Jordan	Middle East & North Africa	2015	1	400	Upper middle income
1319	SOM	Somalia	Sub-Saharan Africa	2015	1	706	Low income
1429	SLB	Solomon Islands	East Asia & Pacific	2015	3	90	Lower middle income
1492	ZAF	South Africa	Sub-Saharan Africa	2015	1	710	Upper middle income
1578	SGP	Singapore	East Asia & Pacific	2015	1	702	High income
1617	ESP	Spain	Europe & Central Asia	2015	1	724	High income
1743	MDG	Madagascar	Sub-Saharan Africa	2015	4	450	Low income
1935	ISR	Israel	Middle East & North Africa	2015	1	376	High income
2057	SYC	Seychelles	Sub-Saharan Africa	2015	1	690	High income
2120	SVN	Slovenia	Europe & Central Asia	2015	1	705	High income
2183	LBR	Liberia	Sub-Saharan Africa	2015	3	430	Low income
2231	DOM	Dominican Republic	Latin America & Caribbean	2015	1	214	Upper middle income
2280	SLE	Sierra Leone	Sub-Saharan Africa	2015	3	694	Low income
2343	SXM	Sint Maarten (Dutch part)	Latin America & Caribbean	2015	1	534	High income
2440	LKA	Sri Lanka	South Asia	2015	4	144	Lower middle income
2503	KIR	Kiribati	East Asia & Pacific	2015	3	296	Lower middle income
2566	KWT	Kuwait	Middle East & North Africa	2015	1	414	High income
2629	MWI	Malawi	Sub-Saharan Africa	2015	4	454	Low income
2687	FSM	Micronesia, Fed. Sts.	East Asia & Pacific	2015	3	583	Lower middle income
2758	KOR	Korea, Rep.	East Asia & Pacific	2015	1	410	High income
2971	PRK	Korea, Dem. People's Rep.	East Asia & Pacific	2015	1	408	Low income
3034	KAZ	Kazakhstan	Europe & Central Asia	2015	1	398	Upper middle income
3097	TLS	Timor-Leste	East Asia & Pacific	2015	4	626	Lower middle income
3175	CHE	Switzerland	Europe & Central Asia	2015	1	756	High income
3257	DJI	Djibouti	Middle East & North Africa	2015	3	262	Lower middle income
3320	JPN	Japan	East Asia & Pacific	2015	1	392	High income
3383	LIE	Liechtenstein	Europe & Central Asia	2015	1	438	High income
3438	MAC	Macao SAR, China	East Asia & Pacific	2015	1	446	High income
3564	VEN	Venezuela, RB	Latin America & Caribbean	2015	1	862	
3676	DMA	Dominica	Latin America & Caribbean	2015	3	212	Upper middle income
3739	TUV	Tuvalu	East Asia & Pacific	2015	3	798	Upper middle income
3803	SVK	Slovak Republic	Europe & Central Asia	2015	1	703	High income
3968	LBY	Libya	Middle East & North Africa	2015	1	434	Upper middle income
4083	MDA	Moldova	Europe & Central Asia	2015	5	498	Upper middle income
4146	TUR	Turkiye	Europe & Central Asia	2015	1	792	Upper middle income
4209	MNG	Mongolia	East Asia & Pacific	2015	4	496	Lower middle income
4272	NPL	Nepal	South Asia	2015	4	524	Lower middle income
4306	TGO	Togo	Sub-Saharan Africa	2015	3	768	Low income
4369	SYR	Syrian Arab Republic	Middle East & North Africa	2015	1	760	Low income
4432	URY	Uruguay	Latin America & Caribbean	2015	1	858	High income
4495	GBR	United Kingdom	Europe & Central Asia	2015	1	826	High income
4558	PAK	Pakistan	South Asia	2015	3	586	Lower middle income
