	Country_Code	Country_Name	Region	Year	Value	ISON	Income_Group
203	CZE	Czechia	Europe & Central Asia	2020	1	203	High income
374	SDN	Sudan	Sub-Saharan Africa	2020	3	729	Low income
437	MUS	Mauritius	Sub-Saharan Africa	2020	1	480	Upper middle income
500	DNK	Denmark	Europe & Central Asia	2020	1	208	High income
830	MRT	Mauritania	Sub-Saharan Africa	2020	4	478	Lower middle income
893	LCA	St. Lucia	Latin America & Caribbean	2020	4	662	Upper middle income
1021	SSD	South Sudan	Sub-Saharan Africa	2020	2	728	Low income
1119	IMN	Isle of Man	Europe & Central Asia	2020	1	833	High income
1182	MEX	Mexico	Latin America & Caribbean	2020	1	484	Upper middle income
1245	JOR	Jordan	Middle East & North Africa	2020	1	400	Upper middle income
1324	SOM	Somalia	Sub-Saharan Africa	2020	2	706	Low income
1434	SLB	Solomon Islands	East Asia & Pacific	2020	3	90	Lower middle income
1497	ZAF	South Africa	Sub-Saharan Africa	2020	1	710	Upper middle income
1520	KNA	St. Kitts and Nevis	Latin America & Caribbean	2020	1	659	High income
1583	SGP	Singapore	East Asia & Pacific	2020	1	702	High income
1622	ESP	Spain	Europe & Central Asia	2020	1	724	High income
1748	MDG	Madagascar	Sub-Saharan Africa	2020	4	450	Low income
1940	ISR	Israel	Middle East & North Africa	2020	1	376	High income
2062	SYC	Seychelles	Sub-Saharan Africa	2020	1	690	High income
2125	SVN	Slovenia	Europe & Central Asia	2020	1	705	High income
2236	DOM	Dominican Republic	Latin America & Caribbean	2020	1	214	Upper middle income
2285	SLE	Sierra Leone	Sub-Saharan Africa	2020	3	694	Low income
2348	SXM	Sint Maarten (Dutch part)	Latin America & Caribbean	2020	1	534	High income
2445	LKA	Sri Lanka	South Asia	2020	1	144	Lower middle income
2508	KIR	Kiribati	East Asia & Pacific	2020	4	296	Lower middle income
2571	KWT	Kuwait	Middle East & North Africa	2020	1	414	High income
2692	FSM	Micronesia, Fed. Sts.	East Asia & Pacific	2020	3	583	Lower middle income
2763	KOR	Korea, Rep.	East Asia & Pacific	2020	1	410	High income
2976	PRK	Korea, Dem. People's Rep.	East Asia & Pacific	2020	1	408	Low income
3039	KAZ	Kazakhstan	Europe & Central Asia	2020	1	398	Upper middle income
3102	TLS	Timor-Leste	East Asia & Pacific	2020	4	626	Lower middle income
3180	CHE	Switzerland	Europe & Central Asia	2020	1	756	High income
3262	DJI	Djibouti	Middle East & North Africa	2020	4	262	Lower middle income
3325	JPN	Japan	East Asia & Pacific	2020	1	392	High income
3388	LIE	Liechtenstein	Europe & Central Asia	2020	1	438	High income
3443	MAC	Macao SAR, China	East Asia & Pacific	2020	1	446	High income
3569	VEN	Venezuela, RB	Latin America & Caribbean	2020	1	862	
3681	DMA	Dominica	Latin America & Caribbean	2020	3	212	Upper middle income
3744	TUV	Tuvalu	East Asia & Pacific	2020	3	798	Upper middle income
3808	SVK	Slovak Republic	Europe & Central Asia	2020	1	703	High income
3973	LBY	Libya	Middle East & North Africa	2020	1	434	Upper middle income
4025	MWI	Malawi	Sub-Saharan Africa	2020	4	454	Low income
4088	MDA	Moldova	Europe & Central Asia	2020	1	498	Upper middle income
4151	TUR	Turkiye	Europe & Central Asia	2020	1	792	Upper middle income
4214	MNG	Mongolia	East Asia & Pacific	2020	1	496	Lower middle income
4277	NPL	Nepal	South Asia	2020	4	524	Lower middle income
4311	TGO	Togo	Sub-Saharan Africa	2020	4	768	Low income
4374	SYR	Syrian Arab Republic	Middle East & North Africa	2020	1	760	Low income
4437	URY	Uruguay	Latin America & Caribbean	2020	1	858	High income
4500	GBR	United Kingdom	Europe & Central Asia	2020	1	826	High income
4563	PAK	Pakistan	South Asia	2020	3	586	Lower middle income
4596	LSO	Lesotho	Sub-Saharan Africa	2020	4	426	Lower middle income
4659	LVA	Latvia	Europe & Central Asia	2020	1	428	High income
4722	TON	Tonga	East Asia & Pacific	2020	3	776	Upper middle income
4785	TUN	Tunisia	Middle East & North Africa	2020	1	788	Lower middle income
4848	TCA	Turks and Caicos Islands	Latin America & Caribbean	2020	1	796	High income
4911	ERI	Eritrea	Sub-Saharan Africa	2020	3	232	Low income
